lec_exam,location,meeting_days,begin_time,end_time
LEC,HMP 121,R,11:30AM,12:45PM
EXAM,HMP 121,F,12:00PM,02:30PM
LEC,DMB 013,MW,11:30AM,12:20PM
EXAM,DMB 013,R,12:00PM,02:30PM
LEC,DMB 013,MW,12:30PM,01:20PM
EXAM,DMB 013,M,12:00PM,02:30PM
,,,,
LEC,DMB 013,MW,10:30AM,11:20AM
EXAM,DMB 013,W,08:30AM,11:00AM
SKL, ,,,
SKL, ,,,
SKL, ,,,
LEC,DMB 013,TR,10:00AM,10:50AM
EXAM,DMB 013,T,08:30AM,11:00AM
LEC,HMP 121,TR,10:00AM,10:50AM
EXAM,HMP 121,T,08:30AM,11:00AM
LEC,DMB RCT,M,04:00PM,06:00PM
ADD,DMB RCT,W,03:30PM,04:30PM
EXAM,DMB RCT,M,03:30PM,06:00PM
LEC,HMP 123E,TR,08:30AM,09:45AM
EXAM,HMP 123E,F,08:30AM,11:00AM
LEC, ,,,
LEC, ,,,
,,,,
,,,,
LEC, ,,,
LEC,HMP 121,MW,11:30AM,12:20PM
LEC,HMP 123E,TR,11:30AM,12:45PM
EXAM,HMP 123E,F,12:00PM,02:30PM
LEC,HMP 121,TR,08:30AM,09:45AM
EXAM,HMP 121,F,08:30AM,11:00AM
LEC,HMP 121,T,11:30AM,12:45PM
EXAM,DMB 004,F,12:00PM,02:30PM
STU,DMB 104,TR,01:00PM,01:50PM
EXAM,DMB 104,T,12:00PM,02:30PM
,,,,
IDI, ,,,
STU,DMB 104,MW,01:30PM,02:20PM
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU,DMB 003,MW,01:30PM,02:20PM
,,,,
,,,,
,,,,
,,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU,DMB 013,MW,01:30PM,02:20PM
,,,,
,,,,
,,,,
,,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU,HMP 121,MW,01:30PM,02:20PM
,,,,
,,,,
,,,,
,,,,
,,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
LEC, ,,,
LEC, ,,,
LEC, ,,,
LEC, ,,,
LEC, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU,DMB SER,MW,01:30PM,02:20PM
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU,DMB 005,M,01:30PM,02:20PM
ADD,HMP 123E,W,01:30PM,02:20PM
,,,,
,,,,
,,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU,CHP SAN,TF,11:30AM,12:20PM
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
STU, ,,,
SEM,JHN 212,F,02:30PM,05:00PM
EXAM,JHN 212,R,03:30PM,06:00PM
,,,,
LEC,FUR 126,MWF,01:30PM,02:20PM
EXAM,FUR 126,W,12:00PM,02:30PM
LEC,FUR 108,MWF,11:30AM,12:20PM
EXAM,FUR 108,R,12:00PM,02:30PM
LEC,FUR 108,MWF,12:30PM,01:20PM
EXAM,FUR 108,M,12:00PM,02:30PM
LEC,FUR 126,TR,08:30AM,09:45AM
EXAM,FUR 126,F,08:30AM,11:00AM
LEC,FUR 109,MWF,09:30AM,10:20AM
EXAM,FUR 109,M,08:30AM,11:00AM
LEC,HIP 106,TR,01:00PM,02:15PM
EXAM,HIP 106,T,12:00PM,02:30PM
LEC,FUR 118,TR,02:30PM,03:45PM
EXAM,FUR 118,R,03:30PM,06:00PM
LEC,FUR 128,MWF,01:30PM,02:20PM
EXAM,FUR 128,W,12:00PM,02:30PM
LEC,FUR 108,MWF,09:30AM,10:20AM
EXAM,FUR 108,M,08:30AM,11:00AM
LEC,FUR 214,MTRF,07:30AM,08:20AM
EXAM,FUR 214,F,03:30PM,06:00PM
LEC,FUR 126,TR,10:00AM,11:15AM
EXAM,FUR 126,T,08:30AM,11:00AM
LEC,FUR 128,W,02:30PM,05:00PM
EXAM,FUR 128,T,03:30PM,06:00PM
LEC,FUR 126,TF,02:30PM,03:45PM
EXAM,FUR 126,R,03:30PM,06:00PM
LEC,PYR 222,MWF,09:30AM,10:20AM
LAB,RNK 252,M,01:30PM,03:20PM
EXAM,PYR 222,M,08:30AM,11:00AM
LEC,PYR 222,MWF,09:30AM,10:20AM
LAB,RNK 252,M,03:30PM,05:20PM
EXAM,PYR 222,M,08:30AM,11:00AM
LEC,PYR 222,MWF,08:30AM,09:20AM
LAB,RNK 252,T,01:00PM,02:50PM
EXAM,PYR 222,R,08:30AM,11:00AM
LEC,PYR 222,MWF,08:30AM,09:20AM
LAB,RNK 252,T,03:00PM,04:50PM
EXAM,PYR 222,R,08:30AM,11:00AM
LEC,PYR 222,MWF,10:30AM,11:20AM
LAB,RNK 252,W,01:30PM,03:20PM
EXAM,PYR 222,W,08:30AM,11:00AM
LEC,PYR 222,MWF,10:30AM,11:20AM
LAB,RNK 252,W,03:30PM,05:20PM
EXAM,PYR 222,W,08:30AM,11:00AM
LEC,PYR 222,MWF,11:30AM,12:20PM
LAB,RNK 251,T,02:30PM,04:20PM
EXAM,PYR 222,R,12:00PM,02:30PM
LEC,PYR 222,MWF,11:30AM,12:20PM
LAB,RNK 251,R,03:00PM,04:50PM
EXAM,PYR 222,R,12:00PM,02:30PM
LEC,PYR 201,MWF,12:30PM,01:20PM
LAB, ,,,
EXAM,PYR 201,M,12:00PM,02:30PM
LEC,PYR 026,MWF,09:30AM,10:20AM
EXAM,PYR 026,M,08:30AM,11:00AM
LEC,RNK 253,MWF,08:30AM,09:20AM
EXAM,RNK 253,R,08:30AM,11:00AM
LEC,PYR 201,TR,11:30AM,12:45PM
EXAM,PYR 201,F,12:00PM,02:30PM
LEC,JHN 109,MWF,09:30AM,10:20AM
EXAM,JHN 109,M,08:30AM,11:00AM
LEC,JHN 109,MWF,10:30AM,11:20AM
EXAM,JHN 109,W,08:30AM,11:00AM
LEC,JHN 109,MWF,11:30AM,12:20PM
EXAM,JHN 109,R,12:00PM,02:30PM
LEC,JHN 101,MWF,12:30PM,01:20PM
EXAM,JHN 101,M,12:00PM,02:30PM
LEC,JHN 107,MWF,01:30PM,02:20PM
EXAM,JHN 107,W,12:00PM,02:30PM
LEC,JHN 109,TR,08:30AM,09:45AM
EXAM,JHN 109,F,08:30AM,11:00AM
LEC,JHN 109,TR,10:00AM,11:15AM
EXAM,JHN 109,T,08:30AM,11:00AM
LEC,JHN 105,MWF,09:30AM,10:20AM
EXAM,JHN 105,M,08:30AM,11:00AM
LEC,JHN 101,MWF,10:30AM,11:20AM
EXAM,JHN 101,W,08:30AM,11:00AM
LEC,JHN 109,MWF,12:30PM,01:20PM
EXAM,JHN 109,M,12:00PM,02:30PM
LEC,JHN 109,MWF,01:30PM,02:20PM
EXAM,JHN 109,W,12:00PM,02:30PM
LEC,JHN 212,TR,11:30AM,12:45PM
EXAM,JHN 212,F,12:00PM,02:30PM
LEC,JHN 109,TR,01:00PM,02:15PM
EXAM,JHN 109,T,12:00PM,02:30PM
LEC,JHN 109,TR,02:30PM,03:45PM
EXAM,JHN 109,R,03:30PM,06:00PM
LEC,JHN 207,TR,08:30AM,09:45AM
ADD,JHN 203,W,03:30PM,04:45PM
EXAM,JHN 207,F,08:30AM,11:00AM
LEC,JHN 109,TR,11:30AM,12:45PM
ADD,JHN 203,R,03:30PM,04:45PM
EXAM,JHN 109,F,12:00PM,02:30PM
LEC,JHN 105,MWF,01:30PM,02:20PM
EXAM,JHN 105,W,12:00PM,02:30PM
LEC,JHN 105,TR,10:00AM,11:15AM
EXAM,JHN 105,T,08:30AM,11:00AM
LEC,JHN 101,TR,01:00PM,02:15PM
EXAM,JHN 101,T,12:00PM,02:30PM
LEC,JHN 105,MWF,10:30AM,11:20AM
EXAM,JHN 105,W,08:30AM,11:00AM
LEC,JHN 111I,TR,11:30AM,12:45PM
EXAM,JHN 111I,F,12:00PM,02:30PM
,,,,
LEC,HIP 102,TR,01:00PM,02:15PM
EXAM,HIP 102,T,12:00PM,02:30PM
LEC,JHN 105,MR,02:30PM,03:45PM
EXAM,JHN 105,M,03:30PM,06:00PM
LEC,JHN 201,TR,10:00AM,11:15AM
EXAM,JHN 201,T,08:30AM,11:00AM
LEC,JHN 107,MWF,11:30AM,12:20PM
EXAM,JHN 107,R,12:00PM,02:30PM
LEC,JHN 101,MWF,09:30AM,10:20AM
EXAM,JHN 101,M,08:30AM,11:00AM
LEC,JHN 101,TR,11:30AM,12:45PM
EXAM,JHN 101,F,12:00PM,02:30PM
SEM,JHN 111I,M,02:30PM,05:00PM
EXAM,JHN 111I,M,03:30PM,06:00PM
IDI,JHN 111I,T,02:30PM,05:00PM
EXAM,JHN 111I,R,03:30PM,06:00PM
LEC,JHN 201,MWF,09:30AM,10:20AM
EXAM,JHN 201,M,08:30AM,11:00AM
LEC,JHN 208,MWF,10:30AM,11:20AM
EXAM,JHN 208,W,08:30AM,11:00AM
LEC,JHN 208,TR,10:00AM,11:15AM
EXAM,JHN 208,T,08:30AM,11:00AM
LEC,JHN 201,TR,01:00PM,02:15PM
EXAM,JHN 201,T,12:00PM,02:30PM
LEC,JHN 212,MWF,10:30AM,12:20PM
LAB,JHN 212,W,02:30PM,04:20PM
LEC,JHN 212,MWF,12:30PM,02:20PM
LAB,JHN 212,T,02:30PM,04:20PM
LEC,JHN 212,MWF,10:30AM,12:20PM
LAB,JHN 212,W,02:30PM,04:20PM
EXAM,JHN 212,W,08:30AM,11:00AM
LEC,JHN 212,MWF,12:30PM,02:20PM
LAB,JHN 212,T,02:30PM,04:20PM
EXAM,JHN 212,M,12:00PM,02:30PM
LEC,JHN 207,TR,10:00AM,11:15AM
EXAM,JHN 207,T,08:30AM,11:00AM
LEC,JHN 207,TR,02:30PM,03:45PM
EXAM,JHN 207,R,03:30PM,06:00PM
LEC,JHN 207,MWF,12:30PM,01:20PM
EXAM,JHN 207,M,12:00PM,02:30PM
LEC,JHN 208,TR,01:00PM,02:15PM
EXAM,JHN 208,T,12:00PM,02:30PM
LEC,JHN 207,TR,01:00PM,02:15PM
LAB,JHN 216,W,02:30PM,05:00PM
EXAM,JHN 207,T,12:00PM,02:30PM
LEC,JHN 208,MWF,11:30AM,12:20PM
LAB,JHN 203,T,02:30PM,04:20PM
EXAM,JHN 208,R,12:00PM,02:30PM
LEC,JHN 216,TR,10:00AM,11:15AM
EXAM,JHN 216,T,08:30AM,11:00AM
LEC,JHN 206H,MR,02:30PM,04:20PM
EXAM,JHN 206H,M,03:30PM,06:00PM
LEC,FUR 128,TR,10:00AM,11:15AM
EXAM,FUR 128,T,08:30AM,11:00AM
LEC,JHN 207,MWF,10:30AM,11:20AM
EXAM,JHN 207,W,08:30AM,11:00AM
LEC,JHN 207,MWF,11:30AM,12:20PM
EXAM,JHN 207,R,12:00PM,02:30PM
LEC,FUR 208,MWF,01:30PM,02:20PM
EXAM,FUR 208,W,12:00PM,02:30PM
LEC,FUR 107,MWF,01:30PM,02:20PM
EXAM,FUR 107,W,12:00PM,02:30PM
LEC,FUR 107,MWF,08:30AM,09:20AM
EXAM,FUR 107,R,08:30AM,11:00AM
LEC,FUR 107,MWF,09:30AM,10:20AM
EXAM,FUR 107,M,08:30AM,11:00AM
LEC,FUR 209,TR,11:30AM,12:45PM
EXAM,FUR 209,F,12:00PM,02:30PM
LEC,FUR 106,MWF,09:30AM,10:20AM
EXAM,FUR 106,M,08:30AM,11:00AM
LEC,HIP 106,MWF,11:30AM,12:20PM
EXAM,HIP 106,R,12:00PM,02:30PM
LEC,FUR 208,TR,10:00AM,11:15AM
EXAM,FUR 208,T,08:30AM,11:00AM
LEC,FUR 111,TR,10:00AM,11:15AM
EXAM,FUR 111,T,08:30AM,11:00AM
LEC,JHN 208,MWF,09:30AM,10:20AM
EXAM,JHN 208,M,08:30AM,11:00AM
LEC,FUR 208,MWF,10:30AM,11:20AM
EXAM,FUR 208,W,08:30AM,11:00AM
LEC,FUR 209,TR,10:00AM,11:15AM
EXAM,FUR 209,T,08:30AM,11:00AM
LEC,FUR 106,MWF,12:30PM,01:20PM
EXAM,FUR 106,M,12:00PM,02:30PM
LEC,FUR 121,W,02:30PM,05:00PM
EXAM,FUR 121,T,03:30PM,06:00PM
LEC,FUR 209,MWF,12:30PM,01:20PM
EXAM,FUR 209,M,12:00PM,02:30PM
SEM,FUR 117,TR,01:00PM,02:15PM
EXAM,FUR 117,T,12:00PM,02:30PM
SEM,FUR 119,T,02:30PM,05:00PM
EXAM,FUR 119,R,03:30PM,06:00PM
LEC,JHN 101,MWF,08:30AM,09:20AM
EXAM,JHN 101,R,08:30AM,11:00AM
LEC,JHN 107,MWF,09:30AM,10:20AM
EXAM,JHN 107,M,08:30AM,11:00AM
LEC,JHN 105,TR,01:00PM,02:15PM
EXAM,JHN 105,T,12:00PM,02:30PM
LEC,JHN 105,TR,11:30AM,12:45PM
EXAM,JHN 105,F,12:00PM,02:30PM
LEC,JHN 105,TR,08:30AM,09:45AM
EXAM,JHN 105,F,08:30AM,11:00AM
LEC,JHN 101,MWF,08:30AM,09:20AM
EXAM,JHN 101,R,08:30AM,11:00AM
LEC,JHN 105,MWF,11:30AM,12:20PM
EXAM,JHN 105,R,12:00PM,02:30PM
LEC,JHN 107,TR,11:30AM,12:45PM
EXAM,JHN 107,F,12:00PM,02:30PM
LEC,JHN 107,TR,10:00AM,11:15AM
EXAM,JHN 107,T,08:30AM,11:00AM
LEC,JHN 107,TR,08:30AM,09:45AM
EXAM,JHN 107,F,08:30AM,11:00AM
LEC,JHN 107,MWF,10:30AM,11:20AM
EXAM,JHN 107,W,08:30AM,11:00AM
SEM,JHN 106G,W,02:30PM,05:00PM
EXAM,JHN 106G,T,03:30PM,06:00PM
SEM,JHN 106G,MR,02:30PM,03:45PM
EXAM,JHN 106G,M,03:30PM,06:00PM
LEC,FUR 230,MTRF,08:30AM,09:20AM
EXAM,FUR 230,R,08:30AM,11:00AM
LEC,FUR 230,MTRF,10:30AM,11:20AM
EXAM,FUR 230,W,08:30AM,11:00AM
LEC,FUR 128,MTRF,11:30AM,12:20PM
EXAM,FUR 128,R,12:00PM,02:30PM
LEC,FUR 229,MTRF,01:30PM,02:20PM
EXAM,FUR 229,W,12:00PM,02:30PM
LEC,FUR 229,MTRF,08:30AM,09:20AM
EXAM,FUR 229,R,08:30AM,11:00AM
LEC,FUR 229,MTRF,09:30AM,10:20AM
EXAM,FUR 229,M,08:30AM,11:00AM
LEC,FUR 229,MTRF,10:30AM,11:20AM
EXAM,FUR 229,W,08:30AM,11:00AM
LEC,FUR 227,MTRF,10:30AM,11:20AM
EXAM,FUR 227,W,08:30AM,11:00AM
LEC,FUR 227,MTRF,11:30AM,12:20PM
EXAM,FUR 227,R,12:00PM,02:30PM
LEC,JHN 201,MTRF,11:30AM,12:20PM
EXAM,JHN 201,R,12:00PM,02:30PM
LEC,FUR 227,MWF,08:30AM,09:20AM
EXAM,FUR 227,R,08:30AM,11:00AM
LEC,FUR 227,MWF,09:30AM,10:20AM
EXAM,FUR 227,M,08:30AM,11:00AM
LEC,FUR 109,MWF,12:30PM,01:20PM
EXAM,FUR 109,M,12:00PM,02:30PM
LEC,RLY 107,MWF,09:30AM,10:20AM
EXAM,RLY 107,M,08:30AM,11:00AM
LEC,PYR 231,MWF,10:30AM,11:20AM
EXAM,PYR 231,W,08:30AM,11:00AM
LEC,FUR 229,MWF,11:30AM,12:20PM
EXAM,FUR 229,R,12:00PM,02:30PM
,,,,
LEC,FUR 230,MWF,12:30PM,01:20PM
EXAM,FUR 230,M,12:00PM,02:30PM
,,,,
LEC,FUR 229,MWF,12:30PM,01:20PM
EXAM,FUR 229,M,12:00PM,02:30PM
LEC,FUR 227,MWF,12:30PM,01:20PM
EXAM,FUR 227,M,12:00PM,02:30PM
LEC,FUR 201,MWF,09:30AM,10:20AM
EXAM,FUR 201,M,08:30AM,11:00AM
LEC,FUR 201,MWF,10:30AM,11:20AM
EXAM,FUR 201,W,08:30AM,11:00AM
LEC,FUR 119,MWF,11:30AM,12:20PM
EXAM,FUR 119,R,12:00PM,02:30PM
LEC,FUR 229,TR,11:30AM,12:45PM
ADD,FUR 229,T,02:30PM,04:20PM
EXAM,FUR 229,F,12:00PM,02:30PM
LEC,FUR 227,MWF,01:30PM,02:20PM
EXAM,FUR 227,W,12:00PM,02:30PM
LEC,FUR 117,MWF,10:30AM,11:20AM
EXAM,FUR 117,W,08:30AM,11:00AM
LEC,FUR 227,TR,01:00PM,02:15PM
EXAM,FUR 227,T,12:00PM,02:30PM
LEC,RNK 151,TR,10:00AM,11:15AM
LAB,RNK 151,T,02:30PM,05:20PM
EXAM,RNK 151,T,08:30AM,11:00AM
LEC,RNK 151,TR,11:30AM,12:45PM
LAB,RNK 151,W,02:30PM,05:20PM
EXAM,RNK 151,F,12:00PM,02:30PM
LEC,SHI COM,TR,01:00PM,02:15PM
LAB,SHI COM,R,02:30PM,05:20PM
EXAM,SHI COM,T,12:00PM,02:30PM
SEM,PYR 101,MF,11:30AM,12:20PM
EXAM,PYR 101,R,12:00PM,02:30PM
ACT, ,,,
LEC,TPH MTR,MWF,09:30AM,10:20AM
EXAM,TPH MTR,M,08:30AM,11:00AM
LEC,TPH MTR,MWF,10:30AM,11:20AM
EXAM,TPH MTR,W,08:30AM,11:00AM
LEC,TPH MTR,MWF,11:30AM,12:20PM
EXAM,TPH MTR,R,12:00PM,02:30PM
LEC,TPH MTR,TR,11:30AM,12:45PM
EXAM,TPH MTR,F,12:00PM,02:30PM
LEC,TPH STR,TR,01:00PM,02:15PM
EXAM,TPH STR,T,12:00PM,02:30PM
LEC,TPH CST,TR,11:30AM,12:45PM
LAB,TPH CST,,,
EXAM,TPH CST,F,12:00PM,02:30PM
